,carat,x,y,z,price,cut/carat,color/carat,clarity/carat
60,0.26,4.11,4.14,2.53,545,11.538461538461538,15.384615384615383,23.076923076923077
61,1.01,6.28,6.35,3.9,3399,1.9801980198019802,1.9801980198019802,1.9801980198019802
62,0.4,4.78,4.75,2.91,1050,7.5,12.5,12.5
63,0.33,4.37,4.41,2.74,666,12.121212121212121,15.15151515151515,12.121212121212121
64,1.28,7.01,6.98,4.32,11580,2.34375,3.90625,3.90625
65,0.75,5.83,5.8,3.63,3456,4.0,9.333333333333334,5.333333333333333
66,1.7,7.73,7.64,4.7,17492,2.3529411764705883,2.3529411764705883,2.9411764705882355
67,1.02,6.44,6.39,4.03,6158,2.941176470588235,6.862745098039215,2.941176470588235
68,0.9,6.17,6.24,3.82,4001,3.333333333333333,4.444444444444445,3.333333333333333
69,0.83,6.0,5.96,3.71,3393,4.819277108433735,6.024096385542169,4.819277108433735
70,0.9,6.28,6.21,3.77,3630,5.555555555555555,5.555555555555555,2.2222222222222223
71,0.32,4.42,4.45,2.7,564,15.625,12.5,12.5
72,1.05,6.45,6.49,4.08,7826,1.9047619047619047,5.714285714285714,4.761904761904762
73,0.9,6.18,6.15,3.85,3997,5.555555555555555,7.777777777777778,3.333333333333333
74,0.71,5.66,5.74,3.55,2190,4.225352112676057,8.450704225352114,2.8169014084507045
75,0.6,5.42,5.45,3.34,3196,5.0,8.333333333333334,10.0
76,1.23,6.86,6.92,4.22,5665,4.065040650406504,0.8130081300813008,4.878048780487805
77,1.01,6.14,6.22,3.87,5628,0.9900990099009901,6.930693069306931,2.9702970297029703
78,0.7,5.58,5.48,3.64,2381,1.4285714285714286,7.142857142857143,7.142857142857143
79,1.59,7.48,7.46,4.66,10106,1.8867924528301885,1.2578616352201257,1.8867924528301885
80,0.35,4.45,4.52,2.79,1044,14.285714285714286,11.428571428571429,22.857142857142858
81,0.9,6.11,6.06,3.87,4234,2.2222222222222223,5.555555555555555,4.444444444444445
82,2.0,7.63,7.59,5.34,15351,0.5,2.5,1.0
83,0.71,5.72,5.67,3.44,2441,5.633802816901409,8.450704225352114,4.225352112676057
84,0.26,4.11,4.18,2.52,679,19.23076923076923,19.23076923076923,26.923076923076923
85,0.53,5.22,5.25,3.2,1655,5.660377358490566,9.433962264150942,7.547169811320754
86,0.35,4.57,4.55,2.79,630,11.428571428571429,5.714285714285714,11.428571428571429
87,0.3,4.25,4.33,2.66,684,13.333333333333334,13.333333333333334,20.0
88,1.04,6.56,6.6,3.99,4703,4.8076923076923075,3.846153846153846,1.923076923076923
89,0.23,3.93,3.96,2.46,583,21.73913043478261,21.73913043478261,30.434782608695652
90,1.03,6.46,6.48,4.0,7328,3.883495145631068,4.854368932038835,4.854368932038835
91,0.3,4.26,4.29,2.66,477,10.0,13.333333333333334,10.0
92,1.08,6.49,6.53,4.11,5096,1.8518518518518516,5.555555555555555,2.7777777777777777
93,1.53,7.42,7.39,4.54,8062,1.9607843137254901,1.3071895424836601,1.3071895424836601
94,1.2,6.89,6.84,4.21,10214,2.5,5.0,3.3333333333333335
95,0.71,5.8,5.84,3.54,3360,4.225352112676057,8.450704225352114,4.225352112676057
96,0.41,4.79,4.76,2.88,923,9.75609756097561,9.75609756097561,7.317073170731708
97,1.09,6.6,6.55,4.08,5098,3.6697247706422016,3.6697247706422016,3.6697247706422016
98,0.7,5.68,5.71,3.48,2445,2.857142857142857,7.142857142857143,4.285714285714286
99,0.91,6.27,6.22,3.84,4051,4.395604395604395,7.692307692307692,2.1978021978021975
100,1.07,6.57,6.67,4.03,18114,4.672897196261682,6.5420560747663545,7.4766355140186915
101,1.52,7.11,7.18,4.58,8915,1.3157894736842106,1.9736842105263157,1.9736842105263157
102,0.81,5.91,5.97,3.81,2718,2.4691358024691357,6.172839506172839,3.7037037037037033
103,0.5,5.03,5.06,3.17,1250,10.0,10.0,6.0
104,0.35,4.48,4.5,2.83,706,14.285714285714286,8.571428571428571,17.142857142857142
105,0.7,5.73,5.76,3.45,3017,7.142857142857143,5.714285714285714,7.142857142857143
106,0.34,4.48,4.52,2.71,477,11.76470588235294,8.823529411764705,8.823529411764705
107,0.71,5.81,5.84,3.53,3527,4.225352112676057,8.450704225352114,4.225352112676057
108,0.31,4.39,4.36,2.7,872,9.67741935483871,19.35483870967742,12.903225806451614
109,0.55,5.28,5.25,3.24,1881,7.2727272727272725,10.909090909090908,7.2727272727272725
110,1.05,6.56,6.52,4.05,6604,2.857142857142857,3.8095238095238093,3.8095238095238093
111,0.32,4.4,4.43,2.69,461,12.5,9.375,9.375
112,0.3,4.29,4.3,2.64,766,10.0,20.0,20.0
113,0.7,5.72,5.77,3.53,2306,7.142857142857143,4.285714285714286,2.857142857142857
114,0.9,6.15,6.2,3.88,3160,5.555555555555555,3.333333333333333,2.2222222222222223
115,0.32,4.36,4.41,2.71,786,15.625,15.625,18.75
116,1.12,6.63,6.66,4.12,8279,2.6785714285714284,6.249999999999999,3.571428571428571
117,0.72,5.71,5.67,3.6,2477,6.944444444444445,5.555555555555555,5.555555555555555
118,0.7,5.72,5.67,3.54,2542,4.285714285714286,8.571428571428571,4.285714285714286
119,0.3,4.29,4.33,2.71,605,16.666666666666668,16.666666666666668,13.333333333333334
120,0.5,5.14,5.17,3.09,2016,6.0,10.0,12.0
121,1.5,7.48,7.42,4.37,9173,2.6666666666666665,4.666666666666667,1.3333333333333333
122,0.55,5.33,5.36,3.24,2499,9.09090909090909,10.909090909090908,10.909090909090908
123,0.53,5.11,5.14,3.23,1127,3.773584905660377,11.320754716981131,3.773584905660377
124,1.0,6.29,6.31,3.99,4712,2.0,5.0,3.0
125,0.74,5.74,5.8,3.6,2906,6.756756756756757,9.45945945945946,5.405405405405405
126,0.5,5.11,5.13,3.12,1563,6.0,14.0,6.0
127,0.34,4.48,4.43,2.77,765,11.76470588235294,8.823529411764705,14.705882352941176
128,1.33,7.04,6.98,4.34,7302,3.007518796992481,2.255639097744361,2.255639097744361
129,0.58,5.35,5.31,3.31,1812,6.8965517241379315,10.344827586206897,5.172413793103448
130,0.32,4.44,4.43,2.75,876,9.375,15.625,15.625
131,1.0,6.34,6.3,3.97,4200,4.0,6.0,2.0
132,0.33,4.51,4.47,2.74,1069,12.121212121212121,18.18181818181818,15.15151515151515
133,1.03,6.45,6.48,4.01,9245,2.912621359223301,4.854368932038835,5.825242718446602
134,0.72,5.78,5.81,3.57,2720,5.555555555555555,5.555555555555555,8.333333333333334
135,0.7,5.81,5.74,3.5,2636,5.714285714285714,4.285714285714286,7.142857142857143
136,0.39,4.68,4.7,2.93,694,12.82051282051282,10.256410256410255,7.692307692307692
137,0.71,5.86,5.83,3.52,2822,4.225352112676057,9.859154929577466,4.225352112676057
138,0.71,5.76,5.8,3.48,2519,7.042253521126761,9.859154929577466,2.8169014084507045
139,1.53,7.39,7.35,4.56,12848,1.9607843137254901,1.9607843137254901,3.9215686274509802
140,1.0,6.36,6.43,3.91,6619,5.0,5.0,4.0
141,0.39,4.65,4.69,2.88,741,12.82051282051282,10.256410256410255,12.82051282051282
142,0.4,4.65,4.71,2.96,786,5.0,17.5,10.0
143,1.01,6.61,6.66,3.95,3709,4.9504950495049505,4.9504950495049505,1.9801980198019802
144,1.01,6.31,6.36,4.03,6932,1.9801980198019802,4.9504950495049505,5.9405940594059405
145,1.14,6.72,6.63,4.18,4788,2.6315789473684212,2.6315789473684212,1.7543859649122808
146,0.51,5.11,5.09,3.21,1687,5.88235294117647,9.803921568627452,7.8431372549019605
147,1.5,7.27,7.33,4.54,10692,2.0,2.0,2.6666666666666665
148,0.75,5.85,5.89,3.54,2726,4.0,9.333333333333334,2.6666666666666665
149,0.31,4.36,4.34,2.67,698,9.67741935483871,12.903225806451614,12.903225806451614
150,0.97,6.28,6.33,3.93,4078,3.0927835051546393,6.185567010309279,2.061855670103093
151,0.9,6.17,6.21,3.82,4493,5.555555555555555,5.555555555555555,4.444444444444445
152,0.3,4.34,4.3,2.61,1013,13.333333333333334,10.0,26.666666666666668
153,0.9,6.15,6.1,3.83,2948,4.444444444444445,2.2222222222222223,2.2222222222222223
154,1.0,6.53,6.51,3.91,3584,4.0,3.0,2.0
155,0.3,4.33,4.29,2.68,709,10.0,23.333333333333336,10.0
156,1.02,6.53,6.51,3.98,8225,2.941176470588235,5.88235294117647,3.9215686274509802
157,0.9,6.03,6.07,3.85,3755,2.2222222222222223,7.777777777777778,3.333333333333333
158,1.55,7.51,7.59,4.47,10707,3.225806451612903,2.5806451612903225,1.9354838709677418
159,0.68,5.63,5.68,3.5,3225,2.941176470588235,5.88235294117647,10.294117647058822
160,0.4,4.74,4.68,2.98,882,12.5,15.0,7.5
161,0.51,5.08,5.06,3.19,1125,7.8431372549019605,5.88235294117647,3.9215686274509802
162,2.32,8.69,8.64,5.11,14666,1.7241379310344829,0.4310344827586207,0.8620689655172414
163,0.31,4.37,4.39,2.68,417,9.67741935483871,9.67741935483871,9.67741935483871
164,1.1,6.65,6.64,4.08,6470,2.727272727272727,2.727272727272727,4.545454545454545
165,1.0,6.38,6.34,3.97,3405,4.0,5.0,1.0
166,0.72,5.74,5.78,3.53,2692,6.944444444444445,9.722222222222223,2.7777777777777777
167,0.38,4.68,4.71,2.89,710,7.894736842105263,10.526315789473685,7.894736842105263
168,1.22,6.78,6.82,4.24,6323,4.098360655737705,2.459016393442623,2.459016393442623
169,0.53,5.21,5.18,3.19,2106,5.660377358490566,7.547169811320754,13.20754716981132
170,1.02,6.44,6.36,4.01,5506,3.9215686274509802,3.9215686274509802,3.9215686274509802
171,0.33,4.43,4.45,2.74,787,15.15151515151515,9.09090909090909,24.242424242424242
172,1.06,6.5,6.57,4.05,6060,2.830188679245283,1.8867924528301885,4.716981132075471
173,0.3,4.37,4.33,2.64,1013,13.333333333333334,16.666666666666668,26.666666666666668
174,0.28,4.16,4.2,2.61,487,10.714285714285714,24.999999999999996,14.285714285714285
175,0.31,4.39,4.37,2.71,802,9.67741935483871,16.129032258064516,12.903225806451614
176,1.01,6.38,6.44,3.97,6666,4.9504950495049505,5.9405940594059405,3.9603960396039604
177,1.53,7.4,7.35,4.63,10796,1.9607843137254901,1.3071895424836601,3.2679738562091503
178,1.07,6.76,6.71,3.97,4235,3.7383177570093458,2.803738317757009,2.803738317757009
179,0.25,4.06,4.08,2.51,535,12.0,20.0,16.0
180,0.33,4.41,4.44,2.74,666,9.09090909090909,9.09090909090909,18.18181818181818
181,1.25,6.9,6.87,4.27,5264,3.2,0.8,3.2
182,0.32,4.45,4.48,2.73,814,9.375,12.5,21.875
183,0.55,5.33,5.38,3.22,2459,5.454545454545454,12.727272727272727,7.2727272727272725
184,1.12,6.71,6.64,4.05,3266,3.571428571428571,0.8928571428571428,1.7857142857142856
185,0.27,4.16,4.19,2.6,527,11.11111111111111,14.814814814814813,18.51851851851852
186,0.93,6.37,6.31,3.82,3062,4.301075268817204,1.075268817204301,5.376344086021505
187,0.31,4.37,4.34,2.72,802,9.67741935483871,9.67741935483871,19.35483870967742
188,0.43,4.81,4.86,3.02,804,11.627906976744185,11.627906976744185,9.30232558139535
189,0.31,4.34,4.31,2.76,523,6.451612903225807,6.451612903225807,9.67741935483871
190,1.23,6.87,6.92,4.23,8431,2.4390243902439024,2.4390243902439024,6.504065040650406
191,1.01,6.37,6.41,3.99,4416,4.9504950495049505,4.9504950495049505,1.9801980198019802
192,0.4,4.75,4.78,2.97,931,7.5,10.0,15.0
193,1.3,6.97,6.94,4.35,11392,3.0769230769230766,3.846153846153846,3.846153846153846
194,0.5,5.0,5.04,3.17,1020,10.0,10.0,4.0
195,2.03,8.04,7.98,5.0,18286,1.9704433497536948,3.4482758620689657,0.9852216748768474
196,0.4,4.7,4.75,2.97,596,12.5,2.5,10.0
197,0.32,4.35,4.34,2.75,720,15.625,18.75,9.375
198,1.01,6.37,6.31,4.05,3737,1.9801980198019802,5.9405940594059405,1.9801980198019802
199,1.04,6.5,6.46,4.05,4648,2.8846153846153846,2.8846153846153846,2.8846153846153846
200,0.31,4.38,4.35,2.7,1046,12.903225806451614,19.35483870967742,19.35483870967742
201,1.06,6.56,6.51,4.07,4530,2.830188679245283,1.8867924528301885,3.773584905660377
202,1.05,6.42,6.49,4.07,4608,1.9047619047619047,2.857142857142857,2.857142857142857
203,0.71,5.79,5.62,3.55,2776,4.225352112676057,8.450704225352114,5.633802816901409
204,0.34,4.44,4.47,2.79,537,8.823529411764705,5.88235294117647,14.705882352941176
205,0.73,5.8,5.75,3.59,3193,4.109589041095891,6.8493150684931505,8.219178082191782
206,0.99,6.36,6.43,4.05,4052,2.0202020202020203,5.05050505050505,2.0202020202020203
207,0.9,6.19,6.22,3.86,4191,3.333333333333333,6.666666666666666,2.2222222222222223
208,0.36,4.56,4.6,2.88,726,13.88888888888889,11.11111111111111,13.88888888888889
209,0.43,4.88,4.85,3.01,1048,6.976744186046512,13.953488372093023,9.30232558139535
210,1.01,6.41,6.37,3.96,4327,3.9603960396039604,3.9603960396039604,1.9801980198019802
211,1.19,7.04,6.9,4.1,5504,3.361344537815126,5.882352941176471,1.680672268907563
212,0.39,4.58,4.65,2.88,562,12.82051282051282,7.692307692307692,5.128205128205128
213,0.87,6.03,5.96,3.78,2379,5.747126436781609,1.1494252873563218,3.4482758620689657
214,0.91,6.26,6.24,3.84,5252,3.2967032967032965,6.593406593406593,3.2967032967032965
215,0.35,4.54,4.57,2.78,633,8.571428571428571,11.428571428571429,11.428571428571429
216,1.02,6.43,6.49,4.0,5019,4.901960784313726,4.901960784313726,2.941176470588235
217,0.72,5.7,5.75,3.6,2396,6.944444444444445,4.166666666666667,5.555555555555555
218,0.7,5.71,5.75,3.47,2662,7.142857142857143,7.142857142857143,4.285714285714286
219,1.56,7.39,7.46,4.63,7809,1.923076923076923,0.641025641025641,2.564102564102564
220,1.12,6.62,6.68,4.11,4624,4.4642857142857135,2.6785714285714284,1.7857142857142856
221,1.12,6.7,6.85,4.08,4852,4.4642857142857135,3.571428571428571,1.7857142857142856
222,2.16,8.19,8.31,5.14,14824,2.314814814814815,1.3888888888888888,0.9259259259259258
223,0.51,5.13,5.11,3.2,2056,5.88235294117647,13.72549019607843,7.8431372549019605
224,0.24,3.98,4.02,2.5,478,20.833333333333336,20.833333333333336,25.0
225,1.27,7.04,7.0,4.24,4660,3.149606299212598,0.7874015748031495,1.574803149606299
226,0.9,6.18,6.24,3.78,4269,5.555555555555555,4.444444444444445,4.444444444444445
227,0.7,5.54,5.51,3.56,2176,1.4285714285714286,4.285714285714286,4.285714285714286
228,0.56,5.28,5.3,3.31,1761,5.357142857142857,8.928571428571427,7.142857142857142
229,1.13,6.77,6.73,4.06,5050,3.5398230088495577,2.6548672566371683,2.6548672566371683
230,0.51,5.12,5.02,3.21,1071,9.803921568627452,1.9607843137254901,5.88235294117647
231,1.01,6.43,6.39,4.03,6176,2.9702970297029703,3.9603960396039604,4.9504950495049505
232,0.56,5.29,5.32,3.27,1723,5.357142857142857,8.928571428571427,7.142857142857142
233,0.73,5.81,5.76,3.59,2351,4.109589041095891,5.47945205479452,4.109589041095891
234,0.91,6.16,6.13,3.86,3898,4.395604395604395,6.593406593406593,2.1978021978021975
235,0.4,4.71,4.67,2.95,1200,7.5,17.5,12.5
236,0.34,4.49,4.48,2.79,956,8.823529411764705,17.64705882352941,11.76470588235294
237,1.7,7.65,7.6,4.74,11888,2.3529411764705883,1.1764705882352942,2.3529411764705883
238,0.9,6.16,6.18,3.88,4580,5.555555555555555,6.666666666666666,4.444444444444445
239,0.51,5.18,5.13,3.18,1781,5.88235294117647,11.76470588235294,7.8431372549019605
240,0.7,5.69,5.75,3.45,3115,2.857142857142857,8.571428571428571,5.714285714285714
241,0.43,4.83,4.86,2.97,867,9.30232558139535,9.30232558139535,9.30232558139535
242,0.73,5.77,5.68,3.56,2821,5.47945205479452,8.219178082191782,4.109589041095891
243,0.32,4.42,4.44,2.72,713,9.375,18.75,15.625
244,0.32,4.41,4.37,2.7,936,12.5,9.375,21.875
245,0.91,6.17,6.21,3.86,3659,5.4945054945054945,5.4945054945054945,2.1978021978021975
246,0.4,4.67,4.7,3.0,591,5.0,2.5,10.0
247,0.46,4.95,4.98,3.08,851,6.521739130434782,10.869565217391305,4.3478260869565215
248,1.01,6.33,6.41,3.97,4666,4.9504950495049505,1.9801980198019802,3.9603960396039604
249,0.31,4.35,4.39,2.71,625,9.67741935483871,16.129032258064516,12.903225806451614
250,1.11,6.64,6.61,4.11,4662,2.7027027027027026,2.7027027027027026,1.8018018018018016
251,0.5,5.14,5.05,3.09,840,8.0,12.0,2.0
252,0.51,5.1,5.08,3.18,1709,7.8431372549019605,11.76470588235294,7.8431372549019605
253,0.3,4.3,4.32,2.67,776,10.0,16.666666666666668,23.333333333333336
254,0.41,4.79,4.81,2.94,1367,7.317073170731708,14.634146341463415,17.073170731707318
255,0.53,5.1,5.14,3.27,1226,3.773584905660377,13.20754716981132,3.773584905660377
256,0.3,4.37,4.3,2.65,608,13.333333333333334,10.0,13.333333333333334
257,0.4,4.66,4.73,2.94,807,10.0,7.5,12.5
258,0.32,4.39,4.43,2.7,803,9.375,21.875,18.75
259,1.3,6.96,7.04,4.35,12629,2.3076923076923075,3.846153846153846,4.615384615384615
260,2.03,8.01,8.07,5.01,16392,2.4630541871921183,0.9852216748768474,1.4778325123152711
261,2.03,8.17,7.92,5.06,13621,0.9852216748768474,1.9704433497536948,0.9852216748768474
262,1.2,6.78,6.76,4.22,6569,4.166666666666667,2.5,2.5
263,2.18,8.35,8.24,5.14,13769,1.3761467889908257,0.9174311926605504,1.8348623853211008
264,0.26,4.13,4.11,2.56,580,15.384615384615383,23.076923076923077,15.384615384615383
265,0.91,6.1,6.07,3.94,3816,1.0989010989010988,3.2967032967032965,3.2967032967032965
266,0.34,4.51,4.47,2.79,765,8.823529411764705,17.64705882352941,8.823529411764705
267,0.33,4.42,4.46,2.7,868,9.09090909090909,12.121212121212121,21.21212121212121
268,0.33,4.42,4.44,2.74,955,9.09090909090909,15.15151515151515,21.21212121212121
269,0.35,4.47,4.5,2.79,718,11.428571428571429,17.142857142857142,14.285714285714286
270,0.71,5.67,5.64,3.58,2494,7.042253521126761,5.633802816901409,7.042253521126761
271,1.07,6.68,6.64,4.01,6112,3.7383177570093458,6.5420560747663545,2.803738317757009
272,0.71,5.65,5.7,3.57,3465,7.042253521126761,9.859154929577466,7.042253521126761
273,2.23,8.39,8.36,5.11,14867,1.7937219730941705,0.4484304932735426,1.7937219730941705
274,0.43,4.85,4.89,3.0,1017,6.976744186046512,6.976744186046512,16.27906976744186
275,0.55,5.2,5.23,3.27,1755,5.454545454545454,12.727272727272727,7.2727272727272725
276,0.9,6.14,6.21,3.85,3718,3.333333333333333,4.444444444444445,2.2222222222222223
277,0.72,5.69,5.75,3.59,2562,6.944444444444445,2.7777777777777777,9.722222222222223
278,0.31,4.36,4.39,2.7,429,9.67741935483871,3.2258064516129035,16.129032258064516
279,0.23,3.98,4.01,2.44,484,13.043478260869565,13.043478260869565,30.434782608695652
280,0.31,4.37,4.34,2.63,1046,12.903225806451614,19.35483870967742,19.35483870967742
281,1.52,7.37,7.33,4.55,10129,1.9736842105263157,3.289473684210526,1.3157894736842106
282,1.22,6.96,7.08,4.14,6607,4.098360655737705,5.737704918032787,1.639344262295082
283,1.32,7.06,7.12,4.34,7480,2.2727272727272725,1.5151515151515151,3.7878787878787876
284,1.24,7.01,6.95,4.18,5382,3.2258064516129035,5.645161290322581,1.6129032258064517
285,1.01,6.45,6.47,3.98,5166,3.9603960396039604,2.9702970297029703,3.9603960396039604
286,0.4,4.73,4.79,2.94,639,7.5,5.0,10.0
287,0.8,5.99,5.93,3.66,2074,5.0,1.25,2.5
288,0.5,5.04,5.08,3.19,1316,10.0,12.0,6.0
289,1.09,6.64,6.69,4.02,4698,1.8348623853211008,4.587155963302752,1.8348623853211008
290,0.3,4.35,4.39,2.63,895,13.333333333333334,13.333333333333334,26.666666666666668
291,0.2,3.81,3.78,2.24,367,20.0,30.0,20.0
292,1.21,6.94,6.98,4.18,9873,2.479338842975207,3.3057851239669422,3.3057851239669422
293,1.43,7.02,7.0,4.63,6086,0.6993006993006994,4.195804195804196,1.3986013986013988
294,0.56,5.29,5.34,3.29,1689,5.357142857142857,3.571428571428571,14.285714285714285
295,1.71,7.65,7.68,4.72,10945,1.7543859649122808,0.5847953216374269,3.5087719298245617
296,1.24,6.89,6.84,4.27,9411,3.2258064516129035,4.032258064516129,3.2258064516129035
297,1.43,7.27,7.22,4.45,8809,2.7972027972027975,3.4965034965034967,2.097902097902098
298,2.32,8.48,8.4,5.27,17053,1.7241379310344829,0.4310344827586207,1.7241379310344829
299,0.34,4.45,4.47,2.79,626,11.76470588235294,5.88235294117647,20.588235294117645
300,0.41,4.8,4.85,2.93,1367,7.317073170731708,14.634146341463415,17.073170731707318
301,1.12,6.6,6.62,4.16,6262,4.4642857142857135,4.4642857142857135,2.6785714285714284
302,1.03,6.44,6.42,4.02,6183,3.883495145631068,5.825242718446602,3.883495145631068
303,1.35,7.08,7.0,4.42,6804,2.962962962962963,3.7037037037037033,1.4814814814814814
304,0.32,4.37,4.41,2.71,730,9.375,12.5,21.875
305,0.3,4.39,4.47,2.63,802,10.0,23.333333333333336,20.0
306,0.5,5.23,5.2,3.02,1415,4.0,8.0,8.0
307,1.1,6.62,6.65,4.08,6837,2.727272727272727,3.6363636363636362,2.727272727272727
308,0.33,4.49,4.43,2.74,854,12.121212121212121,12.121212121212121,15.15151515151515
309,0.51,5.1,5.13,3.18,1148,5.88235294117647,7.8431372549019605,3.9215686274509802
310,0.4,4.72,4.69,2.91,1088,10.0,7.5,17.5
311,0.73,5.92,5.95,3.51,2846,4.109589041095891,8.219178082191782,4.109589041095891
312,1.2,6.7,6.78,4.28,5913,1.6666666666666667,5.833333333333334,2.5
313,0.77,5.91,5.96,3.62,3303,3.896103896103896,7.792207792207792,5.194805194805195
314,0.71,5.69,5.72,3.54,2098,7.042253521126761,2.8169014084507045,4.225352112676057
315,0.7,5.74,5.79,3.52,3468,4.285714285714286,7.142857142857143,5.714285714285714
316,0.52,5.15,5.13,3.13,1605,7.692307692307692,13.461538461538462,5.769230769230769
317,0.57,5.32,5.35,3.28,1961,5.2631578947368425,5.2631578947368425,12.280701754385966
318,0.71,5.7,5.65,3.62,2572,2.8169014084507045,2.8169014084507045,9.859154929577466
319,0.32,4.37,4.4,2.73,645,9.375,12.5,15.625
